Brand,Year,Card Number,Player,Team,Price,Avg Ebay Price,All Card Data,Count,Median Listed Price,Cheapest Price,Most Expensive Price,Buy It Now Count,Buy It Now Avg,Auct Count,Act Avg,Query,Confidence level,,,Rarity,,
Topps Archive (1991),1953,5,Joe Dobson,Chicago White Sox,$0.20,$1.79,Topps Archive (1991)|1953|5|Joe Dobson|Chicago White Sox,16,$1.99,$1.00,$2.88,16,$1.79,$0.00,N/A,Query: 1953 Topps Archive (1991) Joe Dobson | Found: 26 | Used: 16 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±28%)
Topps Archive (1991),1953,5,Joe Dobson,Chicago White Sox,$0.20,$1.79,Topps Archive (1991)|1953|5|Joe Dobson|Chicago White Sox,16,$1.99,$1.00,$2.88,16,$1.79,$0.00,N/A,Query: 1953 Topps Archive (1991) Joe Dobson | Found: 26 | Used: 16 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±28%)
Topps Archive (1991),1953,6,Sam Jones,Cleveland Indians,$0.18,$1.87,Topps Archive (1991)|1953|6|Sam Jones|Cleveland Indians,15,$1.85,$1.00,$2.88,15,$1.87,$0.00,N/A,Query: 1953 Topps Archive (1991) Sam Jones | Found: 22 | Used: 15 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±25%)
Topps Archive (1991),1953,12,Howie Judson,Cincinnati Reds,$0.15,$1.70,Topps Archive (1991)|1953|12|Howie Judson|Cincinnati Reds,13,$1.59,$1.00,$2.88,13,$1.70,$0.00,N/A,Query: 1953 Topps Archive (1991) Howie Judson | Found: 31 | Used: 13 | API: 1 | Outliers: 1,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±32%)
Topps Archive (1991),1953,47,Bubba Church,Cincinnati Reds,$0.15,$1.79,Topps Archive (1991)|1953|47|Bubba Church|Cincinnati Reds,19,$1.85,$1.00,$2.88,19,$1.79,$0.00,N/A,Query: 1953 Topps Archive (1991) Bubba Church | Found: 36 | Used: 19 | API: 1 | Outliers: 1,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±28%)
Topps Archive (1991),1953,77,John Mize,New York Yankees,$0.20,$2.89,Topps Archive (1991)|1953|77|John Mize|New York Yankees,3,$1.49,$1.49,$5.69,3,$2.89,$0.00,N/A,Query: 1953 Topps Archive (1991) John Mize (broad) | Found: 9 | Used: 3 | API: 8 | Outliers: 0,High Confidence,"Market Data (1 graded, 0 parallel adjusted)",10/25/2025,Rare,0.6x,Volatile (±68%)
Topps Archive (1991),1953,101,Ted Wilks,Cleveland Indians,$0.18,$1.74,Topps Archive (1991)|1953|101|Ted Wilks|Cleveland Indians,16,$1.79,$1.00,$2.25,16,$1.74,$0.00,N/A,Query: 1953 Topps Archive (1991) Ted Wilks | Found: 27 | Used: 16 | API: 1 | Outliers: 2,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±24%)
Topps Archive (1991),1953,121,Walt Dropo,Detroit Tigers,$0.15,$1.57,Topps Archive (1991)|1953|121|Walt Dropo|Detroit Tigers,16,$1.50,$1.00,$2.50,16,$1.57,$0.00,N/A,Query: 1953 Topps Archive (1991) Walt Dropo | Found: 32 | Used: 16 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±30%)
Topps Archive (1991),1953,137,John Rutherford,Brooklyn Dodgers,$0.15,$1.81,Topps Archive (1991)|1953|137|John Rutherford|Brooklyn Dodgers,15,$1.99,$1.00,$2.56,15,$1.81,$0.00,N/A,Query: 1953 Topps Archive (1991) John Rutherford | Found: 27 | Used: 15 | API: 1 | Outliers: 1,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±26%)
Topps Archive (1991),1953,139,Sammy White,Boston Red Sox,$0.05,$1.90,Topps Archive (1991)|1953|139|Sammy White|Boston Red Sox,19,$1.99,$1.00,$2.56,19,$1.90,$0.00,N/A,Query: 1953 Topps Archive (1991) Sammy White | Found: 29 | Used: 19 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±21%)
Topps Archive (1991),1953,139,Sammy White,Boston Red Sox,$0.05,$1.90,Topps Archive (1991)|1953|139|Sammy White|Boston Red Sox,19,$1.99,$1.00,$2.56,19,$1.90,$0.00,N/A,Query: 1953 Topps Archive (1991) Sammy White | Found: 29 | Used: 19 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±21%)
